start	end	text
0	8840	is the only possible justification for the logic being
8840	13440	the science of logic being also the science of being.
13440	15440	The self-determining content of thought
15440	18440	is structurally identical to the self-determining content
18440	20960	of being.
20960	23640	And so that's why Hegel says in the Encyclopedia,
23640	28320	paragraph 24, the logic coincides with metaphysics.
28360	31120	They have the same content.
31120	36520	Hegel's just told us that the deduction of that science,
36520	40280	the science that is both logic and metaphysics,
40280	42600	is the phenomenology of spirit itself.
42600	47520	And the phenomenology is, let's see, 500 pages?
47520	49480	500 pages, 466.
49480	51080	So that's a little disappointing,
51080	55200	because if you want to know why the science of logic
55200	57520	is actually a metaphysics, if you
57520	60320	want to see the deduction of this science
60320	62400	and its justification, you need to read
62400	63880	the whole phenomenology of spirit.
63880	65760	And every step in the phenomenology of spirit
65760	67520	needs to work.
67520	70240	But I think there's internal evidence.
70240	72660	That's why I assigned those passages
72660	74160	from the Encyclopedia.
74160	77280	There's internal evidence in the Encyclopedia
77280	79680	that Hegel thinks there's a shorter
79680	83280	argument to that conclusion.
83280	86720	Now, that is to say.
86720	90880	So what is the relationship between these two things?
90880	93000	I'm not sure what the relationship between these two
93000	94280	things is.
94280	101480	I think that the argument that I call the short argument
101480	106480	is sufficient to establish the logic
106480	108500	as being what the science of thinking
108500	111000	and the science of metaphysics, the science of thinking
111000	113720	and the science of being what being.
113720	119360	But it won't repel any possible skepticism
119360	123800	as to whether that is knowing, whether it is science,
123800	127600	and whether it is all that science and knowing could be.
127600	129240	That is to say, if you really want
129240	132480	to press Hegel with skeptical objections
132480	135380	about the possibility of a science of logic
135380	140960	slash metaphysics, the following short argument won't suffice.
140960	145800	So there's a passage in the science of logic
145800	150480	that I think indicates that he has something
150480	153120	like the following short argument in mind.
153120	155440	This is at 2134.
155440	157640	On the other side, one can appeal
157640	160920	to the representations typical of ordinary logic.
160920	162520	For it is assumed that in definitions,
162520	164440	for example, the determinations are not just
164440	167240	of the knowing subject, but are rather determinations
167240	170120	of the subject matter, such that constitutes
170120	171760	in our most essential nature.
171760	176880	So the idea is, just like totally ordinary logic,
176880	179960	we assume that when we define a concept,
179960	182640	we haven't just learned something about our concept.
182640	185020	We've learned something about being.
185020	190560	If I say, let concepts be, that's a bad example,
190560	195120	let a bachelor refer to unmarried males.
195120	199560	We've learned both what the concept bachelor is,
199560	203120	and we've learned what bachelors are.
203120	205320	We've learned something about the world,
205320	207720	and we've learned something about our concepts.
207720	209440	And those are two different facts
209440	211520	under two different modes of description.
211520	214960	It's not possible for those things to come apart.
214960	217640	Now, it might be that our concepts
217640	221160	don't carve reality at instruction.
221160	225200	So merely defining might not get you at the structure.
225200	228120	Might be that, as probably as difficult.
228120	231360	Being is not carved up into bachelors in life.
231360	234560	This is not an ontologically important distinction.
234560	239680	But if you can just do ordinary logic,
239680	242280	you can't really entertain skepticism
242280	245720	about whether ordinary logic is truer.
245720	250080	And that means either you can't do logic in ordinary sense,
250080	255240	or ordinary logic is already a guide to being.
255240	258000	Or in an inference drawn from given determinations
258280	260720	to others, the assumption is that the inferred
260720	263080	is not something external to the subject matter
263080	267280	and alien to it, but that it belongs to it instead.
267280	271680	That to the thought, there corresponds being.
271680	274080	So what Hegel has in mind is just
274080	280160	in doing a totally ordinary inference in what is ordinarily
280160	287080	called logic, you have to presuppose you can't entertain
287080	290640	skepticism about, so to speak, the metaphysical importance
290640	291480	of that claim.
291480	297440	So let's just, as simple as possible inference,
297440	299640	I'm not even sure that Hegel considered this inference.
299640	310240	So let's say P, therefore, either P or Q, this is called.
310240	313400	Not necessarily an inference that logicians
313400	315400	in the ordinary sense would accept in Hegel's input.
315400	318480	So let's just back it up.
318480	323560	Now, if you've accepted this as a valid inference in logic,
323560	330840	you've accepted that if P is true, then P or Q is true.
330840	347440	So you've also accepted that if P, then if P or Q. Now, you can't,
347440	351440	as long as you accept this as a rule of inference in logic,
351440	356960	you have to accept that it preserves truth.
356960	359240	And if you accept that it preserves truth,
359280	363040	you've accepted, essentially, a claim about reality.
363040	367800	Because notice, this doesn't say anything about inference or truth.
367800	372120	This is, so to speak, purely metaphysical.
372120	375280	It just makes a claim about the world.
375280	378680	And this is what we do in logic.
378680	386440	So if you can do this, and this is knowing, if you know this,
386440	389440	then you know some things about the world.
389440	391880	And you know them purely.
391880	394520	So either you're a skeptic about this, and then Hegel thinks,
394520	397800	well, now you can't do any science of anything.
397800	400440	You're a real skeptic.
400440	403840	Because you'll be like, oh, here's just another example.
403840	409920	P and Q, therefore, P and Q. I know Hegel was German,
409920	411200	and I know Kant was German.
411200	414440	But I don't know whether Kant was German and Hegel was German.
414440	417400	Now you've just totally made it impossible for yourself
417400	419480	to do science about anything.
419480	423920	So the idea is, just in accepting ordinary logical
423920	427640	inference as preserving truth, you
427640	432680	are accrediting yourself knowledge of the world.
432680	434480	Because that is actually indirectly knowledge
434480	435080	of the world.
435080	437600	Now, you might think that's really trivial formal knowledge
437600	438680	of the world.
438680	441800	And Hegel will say, that's what you're totally entitled to think
441800	443120	of that until you read my logic.
443120	444640	Because what I'm going to show you
444640	447120	is things even more basic than this develop
447120	448760	really contentful knowledge.
448760	450560	So the idea is this, Hegel wants to get you
450560	453560	on the hook for thinking that there's no, let me just finish,
453560	459640	there's no coherent skepticism about the metaphysical import
459640	461040	of logic.
461040	463760	We can just translate from logical truths
463760	465280	to metaphysical truths, although they're
465280	468200	pretty rinky dinky metaphysical truths so far.
468200	469160	Here's another example.
473200	477120	Can you coherently entertain skepticism
477120	480960	about the law of logic?
480960	483080	There are no true contradictions.
483080	485120	So let's just say the principle of contradiction
485120	487560	is there are no true contradictions.
496120	498120	OK.
498120	502000	Now, if you accept that as a law of logic,
502000	505000	Hegel thinks, you have to accept not merely,
505000	507360	oh, you shouldn't think that there
