start	end	text
0	2840	to figure out whether you know that.
2840	5760	What criterion of knowledge should we apply?
5760	7720	Well, one thing we could do is apply
7720	9840	your own criteria of knowledge.
9840	14340	Maybe your criteria of knowledge is faith.
14340	16880	Let's say it's specifically Christian faith.
16880	21240	Okay, your knowledge claim meets that criterion.
21240	23040	But that was a little easy.
23040	27040	Anyone's knowledge claim is gonna meet their own criterion,
27040	28560	you would normally think.
28560	31920	So that surely can't be sufficient for knowledge.
31920	33180	Here's another possibility.
33180	36280	I'll apply another criterion, an external criterion.
36280	38760	Knowledge is the deliverance of natural science.
40000	42760	Natural science doesn't say anything about God,
42760	44020	says Richard Dawkins.
44900	46800	So therefore you don't know that God exists.
46800	48680	That was also a little easy.
48680	50880	It seemed totally questionable.
50880	52960	So that's the glum of the criteria.
52960	55720	Hegel's idea is that the first horn of the dilemma
55720	57760	isn't actually so easy.
57760	61800	Because in fact, these criteria,
61800	63440	these conceptions of knowledge
63440	65600	that natural consciousness generates
65600	70180	are typically incoherence of their object.
70180	72840	Now, you might ask, so one question you might have is,
72840	75760	well, okay, but I can think of some conception of knowledge
75760	78880	that isn't in the phenomenology of spirit that's coherent.
78880	81120	But that isn't, so to speak,
81120	82800	that isn't sort of argumentatively relevant
82800	84560	to the phenomenology of spirit.
84560	86840	The argument of phenomenology of spirit is if you just
86880	91880	start out with the most primitive thing from itself,
92680	96240	that will develop into knowledge that's so certain
96240	98840	that no skeptical doubt about it can be raised.
100120	102680	Okay, yeah, just one, and then we'll come on.
102680	107680	So, if consciousness alters the standard of knowing,
108520	111200	and then when the standard of knowing changes,
111200	114360	it seems that so does the object that it knows.
114560	118240	So that, how is there ever a one-on-one mapping
118240	121160	of the object and the standard of knowing?
121160	122360	How do they ever meet?
122360	124640	When you change the object of knowing,
124640	126120	you also change the knowledge
126120	128000	that you need to know the object.
128000	130560	And that's exactly what we're about to talk about.
130560	133200	Paragraph 87, page 57.
133200	137400	Okay, so for some reason that I actually don't really know,
137400	140120	the phenomenology is always cited by paragraph numbers.
140120	145120	So, in your papers, please cite it by paragraph number.
146000	151000	And just because I want to drill into your mind,
151800	155120	the fact that we are reading this at secondhand,
155120	157240	you're reading it through translation,
157240	160480	cite the marginal page numbers always,
160480	163160	whenever they're given any of our translations.
163160	165440	Because that's the sort of speak real thing.
165440	168040	The page in Pinkert's translation is just,
168040	169800	the page in what Terry Pinkert is telling you,
169800	170640	they will say.
173000	178000	In this exposition of the course of experience,
178080	181800	there is a moment through which the exposition
181800	184120	seems not to correspond
184120	187040	with what is ordinarily understood by experience.
187040	188160	Okay, let me just back up.
188160	189280	I skipped something.
189280	190760	This dialectical movement,
190760	193320	which consciousness practices in its own self,
193320	195120	this is 86,
195120	197000	insofar as for consciousness,
197000	200200	the new true object arises out of this movement
200200	202800	is properly what is called experience.
202800	205480	So Hegel's technical notion of experience
205480	208840	is not when you took a gap year
208840	210560	and traveled through Southeast Asia,
211520	216040	nor is it the Kantian notion of a synthesis of perceptions,
216040	219360	nor is it whatever Locke and Hume think about experience.
219360	220880	It's precisely that.
220880	223160	It's the dialectical movement
223160	225280	by which consciousness realizes
225280	228760	that its conception of knowledge is incoherent,
228760	230840	that it's not a way of knowing the object
230840	232440	that it takes itself to know
232440	235160	and generates a new conception of knowledge
235160	236880	and thereby generates a new conception
236880	238360	of the object of knowledge.
238360	239760	That's what experience is.
241120	241960	Okay.
245400	246480	Sorry, what?
246480	248960	Can you say it's true or there?
